Word,Weight,Modularity Class
paganism,4.865899647,0
sports,2.304899832,3
oral sex,1.259158242,2
libraries,1.8353832,0
otep,2.625024809,1
pirates,4.737849656,2
astronomy,3.201249767,0
gir,1.493916558,2
theology,1.067083255,0
working out,4.396383014,3
tennis,2.283558167,3
u2,1.728674874,1
dreaming,7.789707768,3
burning,4.716507991,3
cats,23.326439975,0
stars,17.96968203,3
spring,1.600624883,3
music,83.659327268,3
dolphins,0.768299944,3
frank sinatra,1.088424921,1
cowboy bebop,1.942091525,0
the early november,1.536599888,1
mountains,1.429891562,0
seether,2.496974818,1
razors,9.04886601,3
msi,1.195133246,1
chatting,2.859783125,3
taco bell,1.195133246,3
batman,2.454291488,0
joss whedon,0.96037493,0
fireworks,0.533541627,3
rollercoasters,1.024399925,3
eyeliner,10.00924094,3
fiona apple,4.695166326,1
glamour,0.981716595,3
counting crows,1.408549897,1
type o negative,1.408549897,2
needles,2.347583163,3
gore,2.945149786,2
criminal minds,1.87806653,0
goo goo dolls,2.646366474,1
neutral milk hotel,0.939033265,2
viva la bam,1.280499907,1
from autumn to ashes,2.774416465,1
football,2.475633153,3
charmed,2.219533172,0
digital photography,0.939033265,2
dorks,1.344524902,3
gay rights,4.929924642,0
reading,60.03410398,0
jrock,1.643308214,0
tenacious d,0.789641609,1
jimmy eat world,4.054916372,1
mtv,1.323183237,3
mudvayne,2.326241498,1
vnv nation,1.237816576,2
sadness,3.371983088,3
s&m,1.96343319,2
japan,5.975666233,0
borderline personality disorder,5.186024624,2
cake,1.600624883,2
depeche mode,2.347583163,2
loving,0.939033265,3
animal rights,4.695166326,0
nerds,1.771358204,0
nature,9.411674317,0
castles,1.00305826,0
individuality,2.091483181,0
cuddles,1.451233228,3
velvet goldmine,1.216474911,2
cinema,1.344524902,0
nighttime,1.216474911,3
accents,2.326241498,3
nightmares,2.304899832,2
buffy,2.689049805,0
monty python,4.076258037,0
imagination,2.923808121,0
family guy,7.469582791,1
silverchair,3.457349749,1
cds,2.390266493,3
bats,1.472574893,2
politics,6.530549526,0
education,1.472574893,0
zines,1.344524902,0
vans,0.896349935,1
film,3.201249767,0
american beauty,1.79269987,2
marilyn monroe,3.179908102,2
the cure,7.875074429,1
smiling,2.283558167,3
further seems forever,1.451233228,1
yoga,5.335416279,0
tim burton,6.765307842,2
nightwish,2.774416465,0
edgar allan poe,2.262216502,2
will & grace,0.704274948,1
peace,6.061032893,0
swords,2.582341479,0
forests,2.283558167,0
aphex twin,0.704274948,2
pills,6.103716224,3
digital cameras,1.365866567,3
davey havok,0.939033265,1
as i lay dying,1.515258223,1
john mayer,1.600624883,1
the get up kids,1.451233228,1
postal service,0.469516632,1
finch,3.58539974,1
mathematics,0.810983274,0
you,2.859783125,3
lifehouse,1.152449916,1
shows,2.048799851,3
johnny cash,2.027458186,2
costumes,1.387208232,0
smiles,2.432949823,3
korn,6.189082884,1
david bowie,4.567116335,2
brand new,5.932982903,1
lollipops,1.088424921,3
severus snape,1.344524902,0
models,2.475633153,3
jthm,1.557941553,2
quentin tarantino,1.237816576,2
razorblades,3.692108065,3
hanson,1.131108251,1
herbs,1.195133246,0
30 seconds to mars,1.984774856,1
sociology,3.030516446,0
rasputina,2.646366474,2
hawthorne heights,2.176849842,1
lips,1.87806653,3
nintendo,2.347583163,0
occult,1.451233228,0
posters,1.152449916,3
hair,3.926866381,3
hurt,3.115883107,3
friends,30.39053113,3
carebears,1.259158242,3
pool,0.981716595,3
psychology,26.01548978,0
alice in wonderland,5.612857926,2
driving,5.826274577,3
a perfect circle,5.164682958,1
dogma,1.237816576,1
cky,1.323183237,1
the vines,0.768299944,1
jewel,1.237816576,1
photos,2.283558167,3
hanging out with friends,1.323183237,1
moonlight,1.472574893,0
that 70's show,0.853666604,1
karma,1.067083255,0
god,4.375041349,3
dave matthews band,0.896349935,1
they might be giants,0.810983274,2
thunderstorms,5.954324568,3
